sample_id,target_q1_rad,target_q2_rad,target_q3_rad,target_q4_rad,target_q5_rad,target_q6_rad,preview_valid
170,0,1.221730476,0.5235987756,-0.2617993878,0.3490658504,0,1
171,0,1.221730476,0.5235987756,-0.2617993878,0,0.3490658504,1
172,0,1.221730476,0.5235987756,0,0,0.3490658504,1
173,0,1.221730476,0.5235987756,0.2617993878,0,0.3490658504,1
174,0,1.221730476,0.5235987756,0,0.3490658504,0.3490658504,1
175,0,1.221730476,0.5235987756,-0.2617993878,0.3490658504,0.3490658504,1
176,0,1.221730476,0.5235987756,0.2617993878,0.3490658504,0,1
177,0,1.221730476,0.5235987756,0.2617993878,0,-0.3490658504,1
178,0,1.221730476,0.5235987756,0.7853981634,-0.3490658504,-0.3490658504,1
179,0,1.221730476,0.5235987756,0.7853981634,-0.3490658504,0,1
180,0,1.221730476,0.5235987756,0.7853981634,-0.3490658504,0.3490658504,1
181,0,1.221730476,0.5235987756,0.7853981634,0,0,1
182,0,1.221730476,0.5235987756,0.7853981634,0,-0.3490658504,1
183,0,1.221730476,0.5235987756,0.7853981634,0.3490658504,-0.3490658504,1
184,0,1.221730476,0.5235987756,0.7853981634,0.3490658504,0,1
185,0,1.221730476,0.5235987756,0.7853981634,0,0.3490658504,1
186,0,1.221730476,0.5235987756,0.7853981634,0.3490658504,0.3490658504,1
187,0,1.221730476,0.5235987756,0.2617993878,0.3490658504,0.3490658504,1
188,0,1.221730476,0.5235987756,-0.2617993878,0,1.047197551,1
189,0,1.221730476,0.5235987756,0,0,1.047197551,1
190,0,1.221730476,0.5235987756,0.2617993878,0,1.047197551,1
191,0,1.221730476,0.5235987756,0,-0.3490658504,1.047197551,1
192,0,1.221730476,0.5235987756,-0.2617993878,-0.3490658504,1.047197551,1
193,0,1.221730476,0.5235987756,0.2617993878,-0.3490658504,1.047197551,1
194,0,1.221730476,0.5235987756,0.7853981634,-0.3490658504,1.047197551,1
195,0,1.221730476,0.5235987756,0.7853981634,0,1.047197551,1
196,0,1.221730476,0.5235987756,0.7853981634,0.3490658504,1.047197551,1
197,0,1.221730476,0.5235987756,0.2617993878,0.3490658504,1.047197551,1
198,0,1.221730476,0.5235987756,0,0.3490658504,1.047197551,1
199,0,1.221730476,0.5235987756,-0.2617993878,0.3490658504,1.047197551,1
200,0,1.221730476,0.5235987756,-0.7853981634,0,1.047197551,1
201,0,1.221730476,0.5235987756,-0.7853981634,-0.3490658504,1.047197551,1
202,0,1.221730476,0.5235987756,-0.7853981634,-0.3490658504,0.3490658504,1
203,0,1.221730476,0.5235987756,-0.7853981634,-0.3490658504,0,1
204,0,1.221730476,0.5235987756,-0.7853981634,-0.3490658504,-0.3490658504,1
205,0,1.221730476,0.5235987756,-0.7853981634,0,-0.3490658504,1
206,0,1.221730476,0.5235987756,-0.7853981634,0,0,1
207,0,1.221730476,0.5235987756,-0.7853981634,0,0.3490658504,1
208,0,1.221730476,0.5235987756,-0.7853981634,0.3490658504,0,1
209,0,1.221730476,0.5235987756,-0.7853981634,0.3490658504,-0.3490658504,1
210,0,1.221730476,0.5235987756,-0.7853981634,0,-1.047197551,1
211,0,1.221730476,0.5235987756,-0.7853981634,-0.3490658504,-1.047197551,1
212,0,0.5235987756,1.221730476,-0.7853981634,0.3490658504,-1.047197551,1
213,0,1.221730476,0.5235987756,-0.7853981634,0.3490658504,-1.047197551,1
